task,model,variant,cfg_label,score,score_col
ArguAna (Retrieval),LLaDA,base,mean+last4,0.4227,Score
ArguAna (Retrieval),LLaDA,base,mean_no_special+last4,0.4227,Score
ArguAna (Retrieval),LLaDA,base,idf_mean+last4,0.40085,Score
ArguAna (Retrieval),LLaDA,base,mean+indices(idx25-32),0.3915,Score
ArguAna (Retrieval),LLaDA,base,mean_no_special+indices(idx25-32),0.3915,Score
ArguAna (Retrieval),LLaDA,base,mean+last,0.38723,Score
ArguAna (Retrieval),LLaDA,base,mean_no_special+last,0.38723,Score
ArguAna (Retrieval),LLaDA,base,idf_mean+last,0.37028,Score
ArguAna (Retrieval),LLaDA,base,idf_mean+indices(idx25-32),0.3611,Score
ArguAna (Retrieval),LLaDA,base,mean+indices(idx13-20),0.32916,Score
ArguAna (Retrieval),LLaDA,base,mean_no_special+indices(idx13-20),0.32916,Score
ArguAna (Retrieval),LLaDA,base,idf_mean+indices(idx13-20),0.31771,Score
ArguAna (Retrieval),LLaDA,base,mean+indices(idx1-8),0.27631,Score
ArguAna (Retrieval),LLaDA,base,mean_no_special+indices(idx1-8),0.27631,Score
ArguAna (Retrieval),LLaDA,base,idf_mean+indices(idx1-8),0.26024,Score
ArguAna (Retrieval),LLaDA,base,max+last4,0.24006,Score
ArguAna (Retrieval),LLaDA,base,max+indices(idx1-8),0.20272,Score
ArguAna (Retrieval),LLaDA,base,max+indices(idx25-32),0.17222,Score
ArguAna (Retrieval),LLaDA,base,max+last,0.16275,Score
ArguAna (Retrieval),LLaDA,base,max+indices(idx13-20),0.15735,Score
ArguAna (Retrieval),LLaDA,base,eos+last,0.01011,Score
ArguAna (Retrieval),LLaDA,base,eos+last4,0.00559,Score
ArguAna (Retrieval),LLaDA,base,eos+indices(idx25-32),0.00441,Score
ArguAna (Retrieval),LLaDA,base,eos+indices(idx13-20),0.00403,Score
ArguAna (Retrieval),LLaDA,base,eos+indices(idx1-8),0.00294,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean+last,0.50922,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean_no_special+last,0.50922,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean+last4,0.49535,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean_no_special+last4,0.49535,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,idf_mean+last,0.48971,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,idf_mean+last4,0.46866,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean+indices(idx25-32),0.4619,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean_no_special+indices(idx25-32),0.4619,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,idf_mean+indices(idx25-32),0.42936,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean+indices(idx13-20),0.35777,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean_no_special+indices(idx13-20),0.35777,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,max+last4,0.34739,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,idf_mean+indices(idx13-20),0.34428,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean+indices(idx1-8),0.33215,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,mean_no_special+indices(idx1-8),0.33215,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,idf_mean+indices(idx1-8),0.30977,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,max+last,0.28483,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,max+indices(idx25-32),0.27411,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,max+indices(idx1-8),0.23368,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,max+indices(idx13-20),0.20588,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,eos+last,0.0202,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,eos+last4,0.01135,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,eos+indices(idx25-32),0.00919,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,eos+indices(idx13-20),0.00377,Score
ArguAna (Retrieval),LLaDA Instruct,instruct,eos+indices(idx1-8),0.00372,Score
ArguAna (Retrieval),Llama,base,mean_no_special+indices(idx25-32),0.49269,Score
ArguAna (Retrieval),Llama,base,mean+indices(idx25-32),0.49213,Score
ArguAna (Retrieval),Llama,base,idf_mean+indices(idx25-32),0.48595,Score
ArguAna (Retrieval),Llama,base,mean_no_special+last4,0.47563,Score
ArguAna (Retrieval),Llama,base,mean+last4,0.47544,Score
ArguAna (Retrieval),Llama,base,idf_mean+last4,0.46715,Score
ArguAna (Retrieval),Llama,base,mean_no_special+indices(idx13-20),0.43789,Score
ArguAna (Retrieval),Llama,base,mean+indices(idx13-20),0.43398,Score
ArguAna (Retrieval),Llama,base,idf_mean+indices(idx13-20),0.42602,Score
ArguAna (Retrieval),Llama,base,mean_no_special+last,0.42516,Score
ArguAna (Retrieval),Llama,base,mean+last,0.42454,Score
ArguAna (Retrieval),Llama,base,idf_mean+last,0.41439,Score
ArguAna (Retrieval),Llama,base,max+indices(idx25-32),0.39674,Score
ArguAna (Retrieval),Llama,base,max+last4,0.38344,Score
ArguAna (Retrieval),Llama,base,mean_no_special+indices(idx1-8),0.38026,Score
ArguAna (Retrieval),Llama,base,mean+indices(idx1-8),0.37,Score
ArguAna (Retrieval),Llama,base,idf_mean+indices(idx1-8),0.35275,Score
ArguAna (Retrieval),Llama,base,max+indices(idx13-20),0.34336,Score
ArguAna (Retrieval),Llama,base,max+last,0.29695,Score
ArguAna (Retrieval),Llama,base,max+indices(idx1-8),0.19381,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx25-32),0.05609,Score
ArguAna (Retrieval),Llama,base,eos+last4,0.05365,Score
ArguAna (Retrieval),Llama,base,eos+last,0.04549,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx13-20),0.01327,Score
ArguAna (Retrieval),Llama,base,eos+indices(idx1-8),0.00944,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx25-32),0.50186,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+indices(idx25-32),0.50075,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+indices(idx25-32),0.49668,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+last4,0.48939,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+last4,0.4893,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+last4,0.48365,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+last,0.43194,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+last,0.43177,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+last,0.41705,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx13-20),0.4084,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean+indices(idx13-20),0.40377,Score
ArguAna (Retrieval),Llama Instruct,instruct,idf_mean+indices(idx13-20),0.40206,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+indices(idx25-32),0.37568,Score
ArguAna (Retrieval),Llama Instruct,instruct,mean_no_special+indices(idx1-8),0.36903,Score
ArguAna (Retrieval),Llama Instruct,instruct,max+last4,0.36752,Score
