Score,Config
0.5963636363636363,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last4'}"
0.5963636363636363,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last4'}"
0.5751948051948053,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.5751948051948053,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.5712662337662338,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last4'}"
0.543603896103896,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last4'}"
0.5426298701298702,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.5154545454545455,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.494512987012987,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last'}"
0.494512987012987,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last'}"
0.48837662337662346,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last'}"
0.42295454545454547,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last'}"
0.36724025974025976,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.29733766233766235,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.29733766233766235,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.2713961038961039,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.24016233766233763,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.23314935064935066,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.23298701298701294,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.23298701298701294,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.22853896103896104,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last4'}"
0.20964285714285716,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last'}"
0.17305194805194807,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.03464285714285714,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.02461038961038961,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
