Score,Config
0.4227,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last4'}"
0.4227,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last4'}"
0.40085,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last4'}"
0.3915,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.3915,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.38723,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last'}"
0.38723,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last'}"
0.37028,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last'}"
0.3611,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.32916,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.32916,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.31771,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.27631,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.27631,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.26024,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.24006,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last4'}"
0.20272,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.17222,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.16275,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last'}"
0.15735,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.01011,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last'}"
0.00559,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last4'}"
0.00441,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.00403,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.00294,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
