Score,Config
0.50186,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.50075,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.49668,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.48939,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last4'}"
0.4893,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last4'}"
0.48365,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last4'}"
0.43194,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last'}"
0.43177,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last'}"
0.41705,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last'}"
0.4084,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.40377,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.40206,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.37568,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.36903,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.36752,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last4'}"
0.36204,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.3442,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.31313,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.25709,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last'}"
0.19614,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.04734,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last4'}"
0.04693,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.04092,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last'}"
0.01089,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.00973,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
