Score,Config
0.49269,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.49213,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.48595,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.47563,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last4'}"
0.47544,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last4'}"
0.46715,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last4'}"
0.43789,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.43398,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.42602,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.42516,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'last'}"
0.42454,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'last'}"
0.41439,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'last'}"
0.39674,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.38344,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last4'}"
0.38026,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean_no_special', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.37,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.35275,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'idf_mean', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.34336,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.29695,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'last'}"
0.19381,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'max', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
0.05609,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [25, 26, 27, 28, 29, 30, 31, 32], 'layer_win_tag': 'idx25-32'}"
0.05365,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last4'}"
0.04549,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'last'}"
0.01327,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [13, 14, 15, 16, 17, 18, 19, 20], 'layer_win_tag': 'idx13-20'}"
0.00944,"{'device': 'cuda', 'max_len': 128, 'bs': 64, 'l2_normalize': True, 'pooling': 'eos', 'layer_strategy': 'indices', 'layer_indices': [1, 2, 3, 4, 5, 6, 7, 8], 'layer_win_tag': 'idx1-8'}"
